tweet_id,score,value
1059633590831595520,0.4909,neutral
1059954650575761409,0.1667,negative
1059805117128404992,0.3486,negative
1059783958035161093,0.4837,neutral
1057830215781679104,0.4237,negative
1059887586993332224,0.5567,positive
1059917284930711552,0.1667,negative
1059935689398280192,0.5000,neutral
1059789733059051520,0.7084,positive
1057063562689024000,0.5000,neutral
1059885691876851713,0.6557,positive
1059924990756315136,0.5869,positive
1059790024315752448,0.0000,negative
1059951652441071617,0.6718,positive
1059926935315406848,0.4686,neutral
1059784820195246080,0.1251,negative
1059836768953004032,0.2910,negative
1059953050994073602,0.5239,neutral
1057905186537201665,0.5773,positive
1058036054308077573,0.5588,positive
1059944538238783489,0.2143,negative
1059840639733354496,0.1296,negative
1059807672336334848,0.1154,negative
1059785697740107778,0.4415,negative
1059819246560141314,0.5477,neutral
1059876418950180865,0.3727,negative
1058365123281199104,0.6326,positive
1057642929601372160,0.6477,positive
1059768139901296640,0.6576,positive
1059870397720682496,0.6902,positive
1058556218489389056,0.2539,negative
1059951231530139649,0.0000,negative
1059635947933962240,0.5000,neutral
1059911370051911682,0.5379,neutral
1059599108682465282,0.5394,neutral
1058388306579390464,0.5717,positive
1059822610530402309,0.2188,negative
1057892177286742016,0.7778,positive
1059836079082295296,0.5084,neutral
1059799822293745665,0.5443,neutral
1059958424954273792,0.4297,negative
1059821818633183234,0.1033,negative
1057059534840217600,0.0000,negative
1059835840170520577,0.4722,neutral
1059854007336878080,0.4823,neutral
1059780345174937600,0.6745,positive
1059717933314781184,0.5573,positive
1057406938974220290,0.5717,positive
1057371402460893194,0.7174,positive
1059936498949283840,0.4090,negative
1059880976338292737,0.6608,positive
1057654314854842368,0.1131,negative
1059643515246968834,0.4518,neutral
1059847482849542145,0.7342,positive
1059819445160435714,0.5074,neutral
1059788925856821249,0.0000,negative
1058570396998557697,0.4454,negative
1059275179405332480,0.5987,positive
1059793620453261314,0.6601,positive
1057048142116462593,0.4296,negative
1059793129761619981,0.4908,neutral
1059611963859353600,0.7394,positive
1059935764287574016,0.7083,positive
1059797231694475265,0.2564,negative
1059786504875196416,0.6770,positive
1059660886548381696,0.5648,positive
1057716364406857729,0.7227,positive
1059790069945511936,0.4839,neutral
1059605335214833669,0.6644,positive
1059807688169869312,0.5262,neutral
1059842603305328640,0.3244,negative
1059904175016984576,0.2908,negative
1058099239597813764,0.2618,negative
1059884646098526208,0.2500,negative
1059777745960534016,0.4076,negative
1059791493404246018,0.3681,negative
1057085724116295680,0.3477,negative
1059811292897337345,0.0457,negative
1059779407043280897,0.6428,positive
1059883584415297536,0.3287,negative
1057755331747606528,0.2059,negative
1059915222037790720,0.3094,negative
1059785478692655104,0.4475,negative
1059894869538291713,0.7107,positive
1059863811761598464,0.3892,negative
1059932556261507072,0.6201,positive
1056638717182525442,0.7204,positive
1059796223195013120,0.5384,neutral
1059717905930162177,0.5894,positive
1059784150998282241,0.5103,neutral
1059386128493670402,0.4773,neutral
1057321770808688642,0.4754,neutral
1059641773394481152,0.0000,negative
1059784456473587714,0.8600,positive
1058046299025608704,0.5528,positive
1059244619836416000,0.2414,negative
1059811940120383488,0.1679,negative
1059793280618110976,0.4425,negative
1059730334034657280,0.7000,positive
1058729210116800512,0.4522,neutral
1058514249511776257,0.2801,negative
1059802070671343616,0.4658,neutral
1059710557610262529,0.3658,negative
1057446216701788162,0.6359,positive
1059815549688037376,0.2491,negative
1059920013275156483,0.6051,positive
1059874371035119616,0.5797,positive
1059772416283553792,0.3874,negative
1058113082826874880,0.6942,positive
1059934607863435266,0.6373,positive
1059602018438930432,0.4368,negative
1058401617832275972,0.4164,negative
1058609153147633665,0.5652,positive
1058360658184560640,0.4823,neutral
1059882381874737157,0.0000,negative
1059846153540419589,0.2729,negative
1059898367516520450,0.8842,positive
1057280385149820928,0.4620,neutral
1059882164706336769,0.4631,neutral
1057963488176472064,0.3175,negative
1059834354950660098,0.4901,neutral
1057787513702629376,0.5716,positive
1057439806567956481,0.2368,negative
1059791761042821120,0.3719,negative
1059957780235345920,0.3253,negative
